@ bitcoin,binancecoin
08-11-2021 13:20:02,65915,646.01
08-11-2021 13:25:02,66017,646.06
08-11-2021 13:30:02,66062,647.01
08-11-2021 13:35:02,66112,646.37
08-11-2021 13:40:01,66119,647.04
08-11-2021 13:45:02,66176,649.02
08-11-2021 13:50:02,66388,648.9
08-11-2021 13:55:02,66323,649.32
08-11-2021 14:05:01,66232,648.41
08-11-2021 14:10:02,66253,648.54
08-11-2021 14:15:02,66293,648.83
08-11-2021 14:20:02,66262,648.18
08-11-2021 14:25:02,66217,648.01
08-11-2021 14:30:01,66205,646.88
08-11-2021 14:35:03,66145,646.26
08-11-2021 14:40:04,65940,644.74
08-11-2021 14:45:02,65902,644.27
08-11-2021 14:50:03,65776,643.32
08-11-2021 14:55:03,65854,643.68
08-11-2021 15:00:02,65891,643.71
08-11-2021 15:05:10,65921,643.73
08-11-2021 15:10:02,65968,643.86
08-11-2021 15:15:02,66015,644.15
08-11-2021 15:20:02,66013,644.13
08-11-2021 15:25:01,66023,643.59
08-11-2021 15:30:03,66026,643.56
08-11-2021 15:35:02,65969,642.64
08-11-2021 15:40:02,65857,641.82
08-11-2021 15:45:14,65847,641.9
08-11-2021 15:50:02,65921,641.85
08-11-2021 15:55:02,66027,639.45
08-11-2021 16:00:02,66111,640.06
08-11-2021 16:05:02,66272,640.14
08-11-2021 16:10:02,66510,643.14
08-11-2021 16:15:01,66519,642.87
08-11-2021 16:20:02,66571,642.47
08-11-2021 16:25:02,66455,643.35
08-11-2021 16:30:02,66438,641.84
08-11-2021 16:35:02,66249,636.68
08-11-2021 16:40:01,66257,637.83
08-11-2021 16:45:01,66252,637.86
08-11-2021 16:50:02,66250,638.0
08-11-2021 16:55:02,66292,638.35
08-11-2021 17:00:02,66242,638.17
08-11-2021 17:05:02,66259,638.74
08-11-2021 17:10:02,66249,639.61
08-11-2021 17:15:01,66218,640.05
08-11-2021 17:20:01,66127,640.67
08-11-2021 17:25:02,66062,643.35
08-11-2021 17:30:02,66063,644.05
